Username,Total Level,Total EXP,Attack Level,Attack Exp,Defence Level,Defence EXP,Strength Level,Strength EXP,Hitpoints Level,Hitpoints EXP,Ranged Level,Ranged EXP,Prayer Level,Prayer EXP,Magic Level,Magic EXP,Cooking Level,Cooking EXP,Woodcutting Level,Woodcutting EXP,Fletching Level,Fletching EXP,Fishing Level,Fishing EXP,Firemaking Level,Firemaking EXP,Crafting Level,Crafting EXP,Smithing Level,Smithing EXP,Mining Level,Mining EXP,Herblore Level,Herblore EXP,Agility Level,Agility EXP,Thieving Level,Thieving EXP,Slayer Level,Slayer EXP,Farming Level,Farming EXP,Runecrafting Level,Runecrafting EXP,Hunter Level,Hunter EXP,Construction Level,Construction EXP,League Points,Bounter Hunter - Hunter,Bountry Hunter - Rogue,Clue Scrolls (all),Clue Scrolls (beginner),Clue Scrolls (easy),Clue Scrolls (medium),Clue Scrolls (hard),Clue Scrolls (elite),Clue Scrolls (master),LMS - Rank,Soul Wars Zeal,PVP Arena - Rank,Guardians of the Rift - Rifts Closed,Abyssal Sire,Alchemical Hydra,Barrows Chests,Bryophyta,Callisto,Cerberus,Chambers of Xeric,Chambers of Xeric: Challenge Mode,Chaos Elemental,Chaos Fanatic,Commander Zilyana,Corporeal Beast,Crazy Archaeologist,Dagannoth Prime,Dagannoth Rex,Dagannoth Supreme,Deranged Archaeologist,General Graardor,Giant Mole,Grotesque Guardians,Hespori,Kalphite Queen,King Black Dragon,Kraken,Kree'Arra,K'ril Tsutsaroth,Mimic,Nex,Nightmare,Phosani's Nightmare,Obor,Phantom Muspah,Sarachnis,Scorpia,Skotizo,Tempoross,The Gauntlet,The Corrupted Gauntlet,Theatre of Blood,Theatre of Blood: Hard Mode,Thermonuclear Smoke Devil,Tombs of Amascut,Tombs of Amascut: Expert Mode,TzKal-Zuk,TzTok-Jad,Venenatis,Vet'ion,Vorkath,Wintertodt,Zalcano,Zulrah,Time
Azbirddog,2123,256743020,99,29108331,99,14895890,99,15103828,99,35117593,99,31535745,99,13163241,99,18326564,99,13049687,99,13034648,91,6377023,91,5936308,85,3343029,85,3272246,82,2428013,79,1967966,90,5346543,90,5512778,90,5411878,88,4421940,95,9423745,99,13899484,81,2380643,86,3685897,-1,-1,-1,40,4,11,13,7,5,-1,-1,-1,-1,11,-1,-1,41,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,42,44,-1,98,-1,-1,24,-1,114,109,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,101,-1,343,-1,-1,-1,77,253,2,-1,-1,-1,882,159,-1,1363,"3/26/2023, 12:00:22 AM"
Blazeuchija,1940,130503498,99,13846587,98,11962215,99,14327102,99,19463399,99,15122020,77,1497046,97,11397375,95,8968171,77,1527265,78,1688846,80,2151081,72,944787,78,1671024,72,937523,72,949741,82,2485152,78,1730547,74,1162533,95,8810787,88,4799734,77,1567667,83,2673776,71,819120,-1,-1,-1,152,-1,15,67,57,6,7,-1,-1,-1,82,-1,-1,101,-1,-1,834,60,-1,37,-1,-1,-1,-1,148,159,165,-1,-1,1374,-1,-1,-1,-1,974,-1,-1,-1,111,-1,-1,-1,50,-1,-1,15,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,201,-1,-1,544,"3/26/2023, 12:00:25 AM"
Boarder21,2277,426793314,99,19264752,99,15985896,99,23354272,99,47752426,99,61033506,99,13292747,99,24311357,99,13484921,99,13299420,99,13177350,99,13035227,99,14530739,99,14509661,99,13137191,99,13212677,99,13057732,99,13098667,99,15631277,99,16366407,99,15978385,99,13035251,99,13083527,99,13159926,-1,-1,-1,1822,149,202,607,518,153,193,607,-1,-1,208,123,1285,951,219,405,296,337,40,431,522,992,235,899,1051,1044,663,101,1144,3750,179,124,308,626,3707,107,361,18,492,-1,-1,31,143,673,206,38,246,-1,11,-1,-1,364,95,101,-1,12,-1,122,1550,553,389,1395,"3/26/2023, 12:00:27 AM"
Bommerche,2277,668497279,99,35109248,99,35946400,99,45802016,99,79762340,99,56508227,99,15604039,99,54294849,99,25637391,99,39349949,99,14849063,99,18701627,99,17924600,99,15385507,99,15537430,99,25801980,99,14944005,99,13274152,99,17882058,99,38145867,99,44023752,99,15168674,99,14854663,99,13989442,-1,-1,-1,2719,329,556,243,1183,214,194,2694,-1,-1,154,664,1162,866,368,119,1210,544,5,322,116,965,117,309,549,625,439,50,495,770,105,159,283,461,3822,354,432,16,97,-1,-1,5,287,72,88,180,79,67,413,77,-1,550,62,42,-1,46,224,116,762,405,360,1752,"3/26/2023, 12:00:28 AM"
bowfabundy,2102,235618700,99,14061739,99,14588095,99,21174803,99,37301757,99,32189811,83,2694343,99,22568306,92,6775997,91,6124129,91,6086876,88,4705822,81,2418794,94,8118446,89,5093527,92,6958195,93,7318808,87,4012470,86,3907657,99,13078895,94,8272758,81,2195011,84,3081882,83,2890579,-1,-1,-1,188,33,20,38,82,12,3,511,-1,1091,236,759,331,531,-1,-1,1307,548,5,-1,-1,118,-1,-1,316,379,338,-1,437,-1,-1,107,-1,-1,1699,366,155,1,22,-1,-1,-1,-1,163,-1,48,-1,107,1235,46,-1,99,163,75,1,-1,208,58,258,65,85,790,"3/26/2023, 12:00:30 AM"
Chikitichina,1500,23815924,80,2047063,78,1708161,84,3193912,86,3661319,85,3368859,70,737848,81,2268469,71,832941,65,475419,60,276100,58,228396,56,195295,62,356014,51,122425,52,127216,58,225759,55,167915,56,199181,78,1717534,78,1692479,39,34280,47,76673,50,102666,-1,-1,-1,18,10,5,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,325,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"3/26/2023, 12:00:31 AM"
CmmandoSpork,2117,415860001,99,23357113,99,24584945,99,80239825,99,75713768,99,72386502,98,11808003,99,26751167,94,8146188,99,15030665,89,4844692,91,6502533,90,5552788,90,5680639,87,4076705,87,4055634,91,6116411,87,4077493,84,3144111,99,19122385,92,6764697,85,3468392,77,1542050,83,2893295,-1,-1,-1,545,3,23,170,177,75,97,509,-1,-1,41,578,1082,446,16,-1,2476,1409,161,115,104,627,176,148,1882,2065,1957,50,759,190,332,50,185,134,2338,105,915,9,707,262,251,10,-1,399,71,39,100,-1,10,600,107,875,75,35,2,26,54,-1,859,159,119,3533,"3/26/2023, 12:00:33 AM"
cwob,1987,221698272,99,13973859,99,13847369,99,22419687,99,41945931,99,42007225,83,2860194,99,29303305,77,1565001,78,1635119,77,1494763,77,1501895,75,1288427,93,7533483,78,1778959,81,2262637,90,5818685,78,1640120,92,7092550,97,11257639,89,5080691,64,439636,81,2207323,83,2743774,-1,-1,2,258,16,53,87,73,26,3,2725,2797,-1,11,430,546,150,5,-1,1006,367,6,-1,58,159,-1,-1,109,342,112,-1,1379,131,-1,65,-1,-1,235,-1,260,-1,91,-1,-1,-1,-1,69,43,22,-1,-1,488,165,-1,243,-1,238,1,5,341,168,186,38,72,1042,"3/26/2023, 12:00:35 AM"
Dezerthuntar,2277,714134582,99,25540323,99,20088557,99,26950828,99,43465826,99,44023553,99,13554656,99,19891138,99,200000000,99,16892204,99,79523066,99,20238413,99,17470946,99,13519182,99,14445563,99,17238738,99,13566382,99,14052405,99,15627407,99,18253010,99,34333245,99,15817582,99,16193309,99,13448249,-1,-1,-1,461,62,132,143,49,60,15,-1,-1,693,176,191,1479,497,9,-1,-1,85,6,60,46,46,1008,-1,118,105,131,-1,88,126,82,106,831,118,2310,-1,38,1,744,-1,-1,7,46,72,-1,76,194,42,94,-1,-1,828,231,37,-1,6,-1,134,265,650,819,2225,"3/26/2023, 12:00:36 AM"
Doc Beeb,1841,79467307,99,13834061,90,5456709,94,8253556,98,12478747,91,6039405,80,2066613,94,8138674,73,1085270,71,853604,70,743413,85,3589107,67,549854,71,854894,76,1432566,76,1371710,71,886247,77,1538691,73,1095443,82,2564343,82,2431765,65,481980,73,1004317,83,2716338,-1,4,-1,215,9,15,18,151,20,2,-1,-1,-1,-1,-1,-1,64,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,47,-1,109,-1,-1,-1,-1,120,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,46,-1,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,173,-1,-1,133,"3/26/2023, 12:00:38 AM"
Dr snuggles0,2123,189311639,97,11514419,96,10156728,99,13778927,99,19426050,99,16908026,92,6746547,94,8734360,89,4886563,90,5884367,92,6518013,91,6100843,90,5436572,99,13051331,87,4106849,86,3640046,90,5458181,99,13037289,89,5257466,97,10859797,93,7515605,87,4231148,83,2751372,85,3311140,-1,-1,-1,364,17,8,212,75,25,27,500,-1,-1,169,473,361,552,9,-1,211,61,-1,40,-1,74,-1,-1,373,460,363,-1,48,390,58,57,-1,109,1003,-1,-1,3,-1,-1,-1,5,174,-1,-1,28,54,-1,107,-1,-1,301,-1,-1,-1,-1,-1,84,1345,236,539,600,"3/26/2023, 12:00:40 AM"
Dusted Yuna,2153,368753355,99,20864320,99,19141322,99,50744935,99,60312356,99,50777943,99,13052375,99,29682701,99,13120641,95,9004546,99,13273044,86,3680603,99,13545952,99,13265559,87,4094828,83,2727500,99,13177025,86,3911022,85,3269810,94,8380118,99,14103135,81,2215533,82,2427935,87,3980152,-1,-1,-1,454,16,58,151,50,99,80,-1,-1,-1,44,191,-1,99,5,-1,358,2103,253,115,50,115,126,64,66,119,50,103,261,660,327,44,73,273,860,52,153,6,172,151,37,6,-1,567,94,30,110,55,-1,569,-1,1048,85,103,1,34,-1,106,564,457,130,1602,"3/26/2023, 12:00:41 AM"
euxy,2277,624057114,99,30119919,99,28538863,99,76062578,99,83318038,99,68530536,99,14164705,99,42378902,99,19253399,99,16561324,99,14966793,99,16009648,99,14891020,99,20724975,99,14096565,99,15488665,99,20002211,99,16046018,99,19481532,99,23103100,99,24809745,99,15119587,99,17063253,99,13325738,-1,-1,-1,2083,214,502,546,426,201,194,561,-1,-1,205,994,948,1111,51,102,1001,1439,199,158,51,340,77,120,821,868,831,82,1559,222,482,239,354,852,1251,444,1135,15,453,39,2155,11,456,209,224,70,87,51,362,281,-1,2280,131,201,11,35,101,136,2157,585,225,3513,"3/26/2023, 12:00:43 AM"
goethium,2020,126732081,89,5200550,88,4729421,96,9737329,97,11180895,96,9913852,75,1312583,96,9732424,86,3617200,93,7909445,90,5350433,84,2961829,95,9309364,83,2705148,89,4882289,89,4931852,84,2962866,86,3759098,87,4175552,77,1525178,88,4552048,72,965207,81,2251966,99,13065552,-1,-1,-1,111,25,16,18,26,21,5,506,-1,725,59,-1,-1,147,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,648,67,-1,65,-1,-1,52,-1,-1,-1,-1,-1,1,-1,-1,-1,5,95,71,-1,-1,53,-1,486,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,349,-1,133,"3/26/2023, 12:00:45 AM"
Im Folly,2156,313403049,99,29844050,99,15458387,99,24287444,99,46679451,99,47477628,90,5367826,99,20361079,96,9708796,87,4115456,87,4195343,91,5911886,99,14989519,97,10813185,90,5650949,87,4192797,97,11415677,89,4887483,90,5362723,98,11976874,99,15188757,94,8441004,85,3342592,86,3734143,-1,19,-1,256,1,70,109,64,11,1,1299,-1,-1,181,38,1097,349,-1,-1,624,712,178,-1,72,418,-1,-1,166,409,297,-1,489,1027,92,93,-1,-1,2405,-1,138,1,651,-1,-1,-1,-1,239,249,42,125,-1,542,431,-1,704,103,113,1,6,203,-1,72,652,164,2026,"3/26/2023, 12:00:47 AM"
ImMaxy,2061,378932616,99,52949897,99,23437614,99,53156818,99,75146784,99,64050862,99,13062034,99,28056096,83,2727802,85,3287503,84,2965910,80,2037632,80,2083784,84,3003049,83,2803121,83,2721679,91,5936968,81,2205174,83,2721040,98,12414419,99,13941662,87,4309832,82,2562763,85,3350173,-1,-1,2,67,4,6,10,19,25,3,-1,-1,-1,230,-1,1014,701,-1,-1,1017,1607,164,-1,-1,1150,147,52,448,531,551,-1,1213,50,-1,26,-1,194,71,427,235,1,1034,295,-1,-1,-1,-1,-1,12,-1,-1,8,848,213,799,58,57,1,-1,-1,-1,453,54,-1,1848,"3/26/2023, 12:00:48 AM"
Iron My Cat,2046,181136110,99,20027973,99,14579597,99,15781756,99,25441779,99,17003375,81,2282532,97,11264634,94,8171963,80,2011055,99,13108540,87,4125290,90,5734566,88,4617744,80,1994840,85,3276361,91,6256988,82,2636417,89,5192665,96,9952736,85,3459011,78,1713219,72,949052,77,1554017,-1,-1,-1,249,10,27,39,143,24,6,-1,-1,221,91,251,-1,663,7,496,250,460,-1,-1,-1,208,-1,79,110,204,60,-1,122,363,55,10,-1,38,1137,-1,362,2,-1,-1,-1,5,-1,38,-1,15,-1,-1,-1,-1,-1,191,78,93,-1,-1,-1,-1,50,258,127,102,"3/26/2023, 12:00:50 AM"
ITrimGlories,2204,323530316,99,16160782,99,14675305,99,23200942,99,35086019,99,32736780,88,4458024,99,18168699,99,13572641,99,13300557,99,13118649,99,13402610,90,5427490,99,14324337,89,5316618,90,5732749,99,13254543,88,4619573,99,13296380,97,10693420,99,30213152,89,5053265,99,13267731,88,4450050,-1,-1,-1,1534,633,342,183,289,57,30,-1,-1,-1,43,1296,771,529,361,36,150,242,-1,516,-1,-1,-1,-1,208,264,212,-1,332,-1,177,203,101,233,1179,-1,274,4,-1,-1,-1,5,99,182,-1,33,366,-1,1674,-1,-1,50,56,-1,1,7,-1,-1,305,272,119,2541,"3/26/2023, 12:00:51 AM"
J Mercs,2098,246594961,99,21751785,99,17049972,99,29055936,99,38665368,99,30880700,90,5399505,99,16598735,99,14297942,85,3265761,91,5951726,85,3334228,86,3638649,90,5384036,83,2716554,88,4506090,90,5625662,83,2794949,91,5903192,99,13377576,92,6954253,87,4186222,80,1994543,85,3261577,-1,-1,-1,281,-1,-1,210,60,8,3,500,-1,-1,194,-1,2000,106,-1,390,-1,133,-1,-1,-1,178,-1,-1,326,345,327,-1,396,-1,50,-1,-1,113,1419,-1,68,-1,-1,-1,531,-1,152,-1,-1,21,-1,-1,274,-1,-1,235,56,-1,-1,8,-1,-1,434,-1,-1,3180,"3/26/2023, 12:00:53 AM"
Jaamies97,2108,175285746,86,3949625,85,3379740,97,11060530,97,10745764,97,11199590,86,3663857,90,5462924,99,13153625,91,5936842,99,13047530,96,10162952,99,13838229,89,5146640,91,6022107,85,3434375,88,4553984,87,4035159,99,13298172,89,5187216,95,8942465,78,1656470,99,13760324,86,3647626,-1,-1,-1,281,5,20,110,108,24,14,-1,-1,-1,15,-1,-1,66,5,-1,50,-1,-1,38,50,-1,-1,50,-1,151,-1,50,-1,50,100,19,60,-1,465,-1,-1,1,-1,-1,-1,5,-1,60,-1,10,150,-1,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,1000,550,50,-1,"3/26/2023, 12:00:55 AM"
Jack Da Rips,2087,176321002,99,13692077,99,13620554,99,15587796,99,23647497,99,14225813,84,3153885,99,14567790,92,6558599,87,4070951,90,5625740,92,6943745,85,3322618,87,4209416,89,4903133,92,6620920,86,3644400,87,4320305,90,5493359,92,7051114,88,4645572,90,5790435,79,1840591,83,2784692,-1,-1,-1,142,2,20,51,49,14,6,-1,-1,1964,278,50,-1,211,6,92,195,278,-1,-1,-1,169,-1,-1,178,253,233,-1,163,160,-1,26,105,47,328,75,238,-1,37,-1,-1,5,164,-1,-1,13,81,41,12,-1,-1,-1,146,-1,-1,-1,-1,57,194,87,107,372,"3/26/2023, 12:00:56 AM"
Jubnon,1956,97581241,85,3309820,85,3268102,96,10665361,96,10224257,90,5790540,73,1077281,93,7391638,89,5257079,82,2464656,81,2392348,86,3830570,83,2913618,86,3828605,89,4858426,84,3075280,80,2045207,77,1517024,94,8448119,88,4626983,90,5879058,81,2407560,75,1302062,73,1007647,-1,-1,-1,111,1,1,46,61,2,-1,-1,-1,-1,334,-1,-1,163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,185,-1,80,-1,-1,-1,62,-1,-1,550,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,177,30,212,"3/26/2023, 12:00:58 AM"
Kano wins,2106,201895434,99,13559013,91,6075721,99,15256621,99,25502533,99,28073238,86,3864558,99,13827297,92,6654892,90,5364807,90,5605750,90,5366606,99,13112381,93,7849226,85,3358241,91,6123153,90,5579783,85,3501720,93,7886401,97,11366528,89,5195420,85,3410816,81,2214533,84,3146196,-1,5,-1,141,17,11,42,59,8,4,603,-1,-1,64,372,1311,250,5,-1,752,223,11,-1,-1,36,-1,-1,61,270,63,-1,202,59,-1,57,72,37,705,-1,-1,-1,59,-1,-1,6,50,54,-1,28,-1,-1,256,38,-1,187,51,-1,-1,20,64,-1,63,631,133,591,"3/26/2023, 12:01:00 AM"
Key Concept,2090,191022338,98,12019810,95,9532089,99,18035085,99,25761694,99,17973160,88,4421746,99,16159027,90,5798579,87,3989831,85,3420197,86,3837842,90,5384125,89,5155316,90,5500485,82,2648072,94,8082857,85,3434803,86,3737072,98,12604132,99,14227895,82,2447129,82,2425351,88,4426041,-1,-1,-1,505,27,54,97,254,65,8,-1,-1,-1,106,140,664,927,5,37,-1,44,-1,165,-1,103,-1,60,95,214,70,-1,378,36,-1,106,120,85,-1,50,84,4,-1,-1,-1,5,-1,108,-1,30,116,-1,513,-1,-1,700,-1,-1,-1,-1,-1,-1,54,250,-1,570,"3/26/2023, 12:01:01 AM"
